0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
31806176.0,34580.0,37511246.0,35609.0,37503613.0,877896.0,37500681.0,32472655.0,43999806.0,96245.0,4012184.0,40814628.0,8364114.0,827662.0,1742068.0,115566.0,37496906.0,37504104.0,98045.0,12366772.0,41454794.0,22572421.0,11260826.0,177570.0,38816232.0,37847012.0,3118736.0,33325127.0,83100.0,51453.0,44107.0,536112.0,144410.0,3681876.0,56601.0,54465.0,1488497.0,3357243.0,29062.0,10213268.0,37516716.0,100970.0,24106481.0,125588.0
31807734.0,36042.0,37512333.0,36012.0,37504512.0,880870.0,37501020.0,33543023.0,44001057.0,108147.0,4067831.0,41134244.0,9179846.0,864745.0,1742090.0,123420.0,37497061.0,37504733.0,102841.0,12803982.0,41457628.0,22730543.0,11298818.0,188442.0,38835568.0,37852367.0,3386319.0,33482893.0,84612.0,52518.0,45576.0,559646.0,157249.0,3685281.0,58649.0,58709.0,1505583.0,3392675.0,29948.0,10296574.0,37518897.0,102392.0,24517710.0,125998.0
31811928.0,37863.0,37512736.0,36403.0,37505343.0,978175.0,37502397.0,34958113.0,44329283.0,112696.0,4110227.0,41464779.0,9806146.0,939327.0,1742398.0,124058.0,37497292.0,37504969.0,103920.0,13321662.0,41464789.0,22776698.0,11393965.0,198177.0,38838715.0,37852656.0,3427784.0,34531633.0,86128.0,54613.0,47310.0,585660.0,160458.0,3750746.0,60936.0,60610.0,1514944.0,3487118.0,30703.0,10411266.0,37520964.0,104128.0,24518127.0,127026.0
31815072.0,39401.0,37513859.0,36701.0,37505940.0,1061157.0,37504033.0,35305821.0,44329908.0,114473.0,4112874.0,41472669.0,9954626.0,1056044.0,1742423.0,125608.0,37497523.0,37505226.0,104577.0,13616230.0,41471840.0,22785567.0,11712076.0,205985.0,38839557.0,38153372.0,3500163.0,34581164.0,86863.0,55014.0,48880.0,587183.0,161434.0,3941591.0,61488.0,61163.0,1526415.0,3732641.0,31465.0,10918959.0,37521575.0,106607.0,24625545.0,128468.0
31821896.0,40801.0,37514173.0,36792.0,37506912.0,1074653.0,37504692.0,35336603.0,44659776.0,117318.0,4124948.0,41786174.0,10469412.0,1057867.0,1742578.0,127895.0,37497753.0,37505785.0,109195.0,13624199.0,41480112.0,22807240.0,11771089.0,214471.0,38839835.0,38153570.0,3612180.0,34918182.0,89126.0,55726.0,53560.0,600763.0,171414.0,4191192.0,63064.0,64000.0,1599735.0,3823066.0,32252.0,10942341.0,37523037.0,112645.0,25397262.0,130543.0
32046209.0,42346.0,37514616.0,37463.0,37508294.0,1092718.0,37505694.0,36199482.0,44661724.0,118298.0,4179736.0,41786750.0,10966069.0,1065785.0,1742663.0,129394.0,37498020.0,37506357.0,110529.0,13899083.0,41788396.0,22931709.0,12039506.0,222856.0,39143960.0,38156430.0,3640276.0,35022257.0,90414.0,56628.0,54392.0,609180.0,174993.0,4194767.0,63761.0,64141.0,1744237.0,3937063.0,33022.0,11270955.0,37824151.0,113985.0,25679114.0,138218.0
32048244.0,44107.0,37515006.0,39360.0,37509568.0,1142670.0,37506060.0,36199893.0,44989486.0,121410.0,4335146.0,42116064.0,11082793.0,1098908.0,1742698.0,130936.0,37498200.0,37506868.0,118930.0,14245399.0,41791084.0,22952601.0,12306408.0,232459.0,39146912.0,38157658.0,3712484.0,35541248.0,94264.0,57873.0,57240.0,612399.0,176780.0,4224643.0,65781.0,64719.0,1807424.0,3944775.0,33950.0,11620057.0,37824872.0,115657.0,26822317.0,140400.0
32052857.0,45575.0,37515613.0,43769.0,37510792.0,1177383.0,37507194.0,36536607.0,44989770.0,123769.0,4473088.0,42121680.0,11162657.0,1135783.0,1742812.0,137852.0,37498355.0,37508037.0,120054.0,14251767.0,41791312.0,23021466.0,12808424.0,238374.0,39151073.0,38163000.0,3941853.0,36598615.0,95946.0,59700.0,57277.0,620699.0,181238.0,4231109.0,66994.0,67008.0,1834978.0,3963044.0,34578.0,11732909.0,37825309.0,118714.0,26970781.0,141526.0
32056696.0,47310.0,37516004.0,46848.0,37512166.0,1206756.0,37507976.0,37495078.0,44991805.0,124158.0,4531384.0,42451139.0,11191690.0,1152779.0,1742843.0,140203.0,37498601.0,37508278.0,121362.0,14261580.0,41805422.0,23033249.0,13233468.0,240856.0,39159086.0,38166357.0,3946479.0,36837410.0,97165.0,61868.0,63139.0,661924.0,182238.0,4295824.0,69826.0,67417.0,1931397.0,4119916.0,35418.0,12004855.0,37825569.0,120550.0,26988740.0,144796.0
32057719.0,48879.0,37516802.0,47226.0,37514136.0,1245442.0,37508678.0,37495542.0,44992301.0,125729.0,4627191.0,42465732.0,11230917.0,1158092.0,1742878.0,143932.0,37498817.0,37508996.0,122138.0,14487357.0,42115533.0,23151839.0,13289625.0,252869.0,39162211.0,38170799.0,4017824.0,36856730.0,98558.0,62661.0,65202.0,664218.0,186438.0,4372407.0,71669.0,67500.0,1993547.0,4134148.0,36156.0,12008621.0,37826102.0,123465.0,26994673.0,146923.0
